               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.027298,            0.072491,               0.016,             0.78579,             0.51413,             0.61749,             0.38317,            0.029562,            0.058126,            0.018682,            0.004456,            0.004456,            0.004456
                  58,            0.027725,            0.072354,            0.016965,             0.79967,             0.49238,             0.60513,             0.37766,            0.028158,            0.058642,            0.019424,            0.004357,            0.004357,            0.004357
                  59,            0.027079,            0.071267,            0.017045,             0.82122,             0.50439,              0.6103,              0.3937,             0.02855,            0.058599,            0.018943,            0.004258,            0.004258,            0.004258
                  60,            0.025231,            0.071727,             0.01644,             0.83038,             0.47218,              0.5935,             0.36301,            0.029007,            0.059771,            0.019115,            0.004159,            0.004159,            0.004159
                  61,            0.025888,            0.069867,            0.016831,             0.83257,             0.49621,             0.63591,             0.39962,             0.02857,            0.057645,            0.019193,             0.00406,             0.00406,             0.00406
                  62,            0.026732,            0.072894,            0.015987,             0.80824,             0.48378,             0.59811,             0.37211,            0.029134,            0.059794,             0.01965,            0.003961,            0.003961,            0.003961
                  63,            0.026123,            0.070945,             0.01666,             0.83022,             0.50445,             0.60544,             0.38284,            0.027476,            0.056503,            0.018518,            0.003862,            0.003862,            0.003862
                  64,            0.026555,            0.071188,            0.015761,             0.83675,             0.50369,             0.63962,             0.42039,            0.027365,            0.056023,            0.018447,            0.003763,            0.003763,            0.003763
                  65,            0.025687,            0.071027,             0.01597,             0.84796,             0.50888,             0.64731,             0.42693,            0.027544,             0.05602,            0.018275,            0.003664,            0.003664,            0.003664
                  66,            0.025736,            0.067746,            0.015601,             0.79971,             0.51472,             0.62866,             0.40959,            0.028453,            0.059766,            0.018279,            0.003565,            0.003565,            0.003565
                  67,            0.025605,            0.071758,             0.01575,             0.62177,             0.64977,             0.65157,             0.41624,            0.027542,            0.056333,             0.01802,            0.003466,            0.003466,            0.003466
                  68,            0.024885,            0.068267,            0.015381,             0.59451,             0.67707,              0.6437,             0.40372,            0.028191,             0.05644,            0.018013,            0.003367,            0.003367,            0.003367
                  69,            0.024856,            0.067625,            0.015528,             0.57214,             0.65741,             0.61605,              0.3835,            0.029409,            0.061979,            0.018803,            0.003268,            0.003268,            0.003268
                  70,            0.024962,            0.069157,            0.015602,             0.61556,              0.6667,             0.66033,             0.42923,            0.027076,            0.056951,            0.018016,            0.003169,            0.003169,            0.003169
                  71,             0.02427,             0.06781,            0.015214,               0.606,             0.66813,             0.65365,             0.42951,            0.026476,            0.056363,            0.017804,             0.00307,             0.00307,             0.00307
                  72,            0.024453,            0.068848,            0.015154,             0.62631,             0.66008,             0.66201,             0.42701,            0.027306,            0.056974,            0.017787,            0.002971,            0.002971,            0.002971
                  73,            0.023691,             0.06534,            0.014688,             0.63254,             0.65255,             0.66275,             0.43527,            0.026985,            0.056328,            0.017448,            0.002872,            0.002872,            0.002872
                  74,             0.02373,            0.068661,            0.014656,             0.65064,             0.64417,             0.66401,             0.42979,            0.026738,            0.056686,            0.017343,            0.002773,            0.002773,            0.002773
                  75,             0.02359,            0.065291,            0.014586,             0.64438,             0.64309,             0.65722,             0.42202,             0.02672,            0.056564,            0.017303,            0.002674,            0.002674,            0.002674
                  76,            0.023372,            0.067394,            0.014685,             0.64496,             0.67197,             0.65359,             0.42762,            0.027226,            0.057109,             0.01735,            0.002575,            0.002575,            0.002575
                  77,            0.023146,             0.06503,            0.014512,             0.66422,             0.65875,             0.66542,             0.43354,            0.026761,            0.056536,            0.017111,            0.002476,            0.002476,            0.002476
                  78,            0.023385,            0.065177,            0.015304,             0.68237,             0.64148,             0.67275,             0.44638,            0.026371,            0.056028,            0.016903,            0.002377,            0.002377,            0.002377
                  79,            0.022784,            0.064376,            0.014262,             0.69222,             0.64481,             0.66935,             0.44303,            0.026509,            0.057002,            0.017076,            0.002278,            0.002278,            0.002278
                  80,              0.0226,            0.066388,            0.014076,              0.6891,             0.64994,             0.66901,             0.44596,            0.026063,            0.056938,            0.016985,            0.002179,            0.002179,            0.002179
                  81,             0.02222,            0.063863,            0.014496,             0.72976,             0.63352,             0.66889,             0.43956,            0.026143,            0.058037,            0.016828,             0.00208,             0.00208,             0.00208
                  82,            0.022507,            0.065634,            0.013508,             0.70025,             0.64743,             0.66912,              0.4456,            0.026092,             0.05692,            0.016696,            0.001981,            0.001981,            0.001981
                  83,            0.021683,            0.064703,            0.013832,             0.71727,             0.64045,             0.66787,             0.44045,            0.025908,            0.056666,            0.016867,            0.001882,            0.001882,            0.001882
                  84,            0.021664,            0.064479,            0.014391,             0.72358,              0.6505,             0.67349,              0.4471,            0.025879,            0.056953,            0.016424,            0.001783,            0.001783,            0.001783
                  85,            0.021846,              0.0655,            0.013996,             0.72273,             0.62074,             0.66934,             0.44445,            0.026097,            0.057592,            0.016391,            0.001684,            0.001684,            0.001684
                  86,            0.021477,            0.065189,            0.013966,              0.6925,             0.66113,             0.66805,             0.44114,            0.025852,            0.057513,            0.016322,            0.001585,            0.001585,            0.001585
                  87,            0.021636,            0.063443,            0.013511,             0.79891,             0.63046,             0.67736,             0.44986,            0.025448,             0.05702,            0.016438,            0.001486,            0.001486,            0.001486
                  88,            0.021376,            0.063437,            0.013857,             0.82451,             0.60217,              0.6787,             0.45091,            0.025384,             0.05676,            0.016355,            0.001387,            0.001387,            0.001387
                  89,            0.021454,            0.065105,            0.013115,             0.82439,             0.60564,             0.67819,             0.45328,            0.025372,            0.057098,            0.016405,            0.001288,            0.001288,            0.001288
                  90,            0.020878,            0.063618,            0.013298,             0.81306,             0.62357,             0.67969,             0.45123,            0.025553,            0.056636,             0.01625,            0.001189,            0.001189,            0.001189
                  91,            0.021003,            0.060552,            0.013313,             0.80567,             0.62255,             0.67388,             0.45137,            0.025439,            0.057172,            0.016317,             0.00109,             0.00109,             0.00109
                  92,            0.020857,            0.065527,            0.013041,             0.82236,             0.61829,             0.67083,             0.44841,            0.025265,            0.056676,            0.016294,            0.000991,            0.000991,            0.000991
                  93,            0.020166,            0.061228,            0.013349,             0.83367,              0.6174,             0.68049,             0.45186,             0.02504,            0.056801,            0.016198,            0.000892,            0.000892,            0.000892
                  94,            0.020616,            0.061913,            0.013661,             0.83052,             0.61051,             0.68377,             0.45389,            0.025057,             0.05677,            0.016105,            0.000793,            0.000793,            0.000793
                  95,             0.02022,            0.062622,             0.01323,              0.7226,             0.67189,             0.68064,             0.45607,            0.025112,            0.056946,            0.016211,            0.000694,            0.000694,            0.000694
                  96,             0.02013,            0.060034,            0.013401,             0.73608,             0.66295,             0.68748,             0.45842,            0.025114,            0.056834,            0.016304,            0.000595,            0.000595,            0.000595
                  97,            0.020259,            0.060835,            0.013276,             0.71402,             0.66654,             0.68683,             0.46014,            0.024976,            0.057083,            0.016276,            0.000496,            0.000496,            0.000496
                  98,             0.02076,            0.059065,            0.013081,              0.7211,             0.66631,             0.68734,             0.45994,            0.024958,            0.056923,            0.016096,            0.000397,            0.000397,            0.000397
                  99,            0.020058,            0.062355,            0.012751,             0.71057,             0.66198,             0.69004,             0.46531,            0.024929,            0.056615,             0.01602,            0.000298,            0.000298,            0.000298
